title,author,description,genre
Breakpoint,JoAnn Ross,"When former Air Force combat controller Dallas O'Halloran is teamed up with gorgeous JAG officer Julianne Decatur to investigate a Navy flyer's apparent suicide, their mission takes a dangerous turn as they succumb to temptation.",romance
To sin with a stranger,Kathryn Caskie,"The seven Sinclair brothers and sisters live for scandal and delight in disgrace--until their father decrees that they must reform. Propriety has never come easily, but now they have no choice.",romance
Succubus on top,Richelle Mead,It seems completely unfair that a she-demon whose purpose is seduction can't get hot and heavy with the one mortal who knows and accepts her for what she is.,romance
Breaking loose,Tara Janzen,"""No one's ever seen it. Everybody wants it. That's why the government has just unleashed its secret weapon. Drop-dead-grogeous art dealer Suzi Toussi has been tapped for the toughest mission of her career: to locate the Memphis Sphinx, an ancient artifact rumored to possess otherworldly powers. Tracking it to Paraguay means going up against Dax Killian, the sexy special ops agent who's planning to snatch the coveted relic right out of her hot little hands. If he can find it first.... Dax first spotted her outside a seedy bar--in three-inch heels and a too-tight dress. He'd know those curves anywhere. But what was Suzi doing in a hellhole like Ciudad del Este? Dax knows the answer: the Sphinx. Suddenly the game is on--and only one of them will walk away with the prize. With the Sphinx surfacing and passion taking Suzi and Dax under, they're headed for a showdown that could reveal the secrets of the ages...or expose them to the hottest danger of all.""--p. [4] of cover.",romance
Redneck Cinderella,LuAnn McLane,"Raised by her widowed father, Jolie Russell can keep up with any man--until sexy land developer Cody Dean struts into her life. Cody buys the Russell farm, then relocates Jolie and her dad to the Copper Creek Estates, where two worlds soon collide.",romance
Demon can't help it,Kathy Love,"The selfish sensual demon Maksim falls for the one woman who can resist him, and their erotic couplings result in complications. The suspense of the subplot concerning Jo's dead sister comes to naught, and Maksim's search for his sister is too easily concluded.",romance
Remember me,Deborah Bedford,"""Story of a pastor with a broken spirit who must confront his lack of faith before he can be whole""--Provided by the publisher.",romance
Blackmailed for her baby,Elizabeth Power,"""Libby Vincent wants to tell Romano Vincenzo why she allowed his ruthless family to take her baby from her. But the dark-hearted billionaire isn't in the mood for listening. He needs Libby back in his life and he knows she will do anything to see her child. Even marry her most bitter enemy-- He'll take her as his bride, but Romano doesn't do love--""--P. [4] of cover.",romance
Mom's the word,Marilynn Griffith,"""When her tall, dark, delicious husband joins their three kids in calling her 'Mom,' Karol Simons has an identity crisis. Sure she loves the pint-sized trio, but what's happened to her dreams of writing a novel? Determined to have it all, she jumps on her husband's offer to take over as 'Mom' for three weeks. Neighbor Dyanne has baby fever, but didn't expect to get motherhood practice on her neighbor's three rambunctious children. Yet after seeing the kids' father so in over his head, the career woman trades her glamorous clothes and four-inch heels for the playground and potty training. She hopes to convince her reluctant husband they should start a family of their own, right away. Everyone's in for some big surprises....""--p. [4] of cover.",romance
Just breathe,Barbara Cartland,"With Chicago --- and her marriage --- in the rearview mirror, cartoonist Sarah Moon flees to the small northern California coastal town where she grew up. As she comes to terms with her lost marriage, Sarah encounters a man she never expected to meet again: Will Bonner, the high school heartthrob she'd skewered mercilessly in her old comics. Now a local firefighter, he's been through some changes himself. But just as her heart is about to reawaken, Sarah discovers she is pregnant. With her ex's twins.",romance
Speed Dating (Harlequin NASCAR #2),Penny Jordan,"One minute I'm locked out of my hotel room, and the next...Dylan Hargreave thinks I'm an actress paid to pose as his girlfriend at a North Carolina society wedding. How did this happen to me, of all people? Kendall Clarke, award-winning actuary, the veritable shining star of number crunchers who, just hours ago, learned her responsible fiance; (sorry, ex-fiance;) called off our wedding because he'd gotten one of my colleagues pregnant. What are the odds? Don't tell me you've never heard of Dylan Hargreave. Celebrity NASCAR driver? People magazine's Sexiest Man of the Year? Those eyes. That smile... Forget sensible! I've assessed the risk...and I'm taking it! I usually keep the brakes on, but as of now I'm taking a vacation. From me.",romance
Wedding bell blues,Heather Graham,"""If Kaitlin O'Herlihy got one more wedding invitation, she was going to scream. Suddenly everyone, including her grandmother, was getting married. It was making a shambles of her well-ordered existence. It had also brought a certain Brendan O'Herlihy back into her life, as the best man. That troublesome ex-husband of hers seemed to be everywhere, making a perfect nuisance of himself. He was as maddening and exciting as ever, and she could certainly do without any pesky reminders that he might be the best man for her."" --Back cover.",romance
